,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
0,binance.us-eth-usd-spot,2019-09-23 00:00:00+00:00,213.46,213.46,213.46,213.46,213.46,0.1,21.346,1,binance.us,eth,usd
1,binance.us-eth-usd-spot,2019-09-24 00:00:00+00:00,213.46,167.43,213.46,151.9,169.1702936094664,1881.24963,318251.5522598,979,binance.us,eth,usd
2,binance.us-eth-usd-spot,2019-09-25 00:00:00+00:00,167.1,170.1,175.13,164.16,168.5931156214659,243.08903,40983.1369411,257,binance.us,eth,usd
3,binance.us-eth-usd-spot,2019-09-26 00:00:00+00:00,170.1,166.28,170.78,153.06,165.4947539768595,348.22578,57629.5397895,436,binance.us,eth,usd
4,binance.us-eth-usd-spot,2019-09-27 00:00:00+00:00,166.28,174.19,176.0,161.38,165.6668526816645,657.72098,108962.5646993,415,binance.us,eth,usd
5,binance.us-eth-usd-spot,2019-09-28 00:00:00+00:00,174.19,173.97,175.42,168.5,172.104487413573,759.38628,130693.7864683,388,binance.us,eth,usd
6,binance.us-eth-usd-spot,2019-09-29 00:00:00+00:00,173.98,169.74,174.45,164.61,169.3344405540379,384.36143,65085.6277196,353,binance.us,eth,usd
7,binance.us-eth-usd-spot,2019-09-30 00:00:00+00:00,169.52,180.72,181.41,163.37,169.5359310815547,1361.95121,230899.666475,768,binance.us,eth,usd
8,binance.us-eth-usd-spot,2019-10-01 00:00:00+00:00,180.72,176.42,185.69,174.0,178.8226045164809,526.38062,94128.75343540001,917,binance.us,eth,usd
9,binance.us-eth-usd-spot,2019-10-02 00:00:00+00:00,176.17,180.69,181.48,174.38,177.7557504051762,380.52576,67640.6420173,624,binance.us,eth,usd
10,binance.us-eth-usd-spot,2019-10-03 00:00:00+00:00,180.78,175.0,181.08,170.03,176.8699067527492,1321.00731,233646.4397394,1058,binance.us,eth,usd
11,binance.us-eth-usd-spot,2019-10-04 00:00:00+00:00,175.08,175.89,179.26,171.15,175.7801267618535,576.08577,101264.4296763,719,binance.us,eth,usd
12,binance.us-eth-usd-spot,2019-10-05 00:00:00+00:00,175.84,176.53,176.86,172.47,175.3929406960152,371.47352,65153.8330635,562,binance.us,eth,usd
13,binance.us-eth-usd-spot,2019-10-06 00:00:00+00:00,176.68,170.43,176.95,168.27,173.798388138531,300.56547,52237.7942161,637,binance.us,eth,usd
14,binance.us-eth-usd-spot,2019-10-07 00:00:00+00:00,170.43,180.2,182.23,168.81,178.1043418804701,724.04013,128954.6908487,905,binance.us,eth,usd
15,binance.us-eth-usd-spot,2019-10-08 00:00:00+00:00,180.2,181.04,184.84,177.37,181.6478775655479,652.36017,118499.8402888,775,binance.us,eth,usd
16,binance.us-eth-usd-spot,2019-10-09 00:00:00+00:00,180.92,194.02,195.52,179.59,190.780540435915,1708.56502,325960.9578855,1302,binance.us,eth,usd
17,binance.us-eth-usd-spot,2019-10-10 00:00:00+00:00,193.17,191.53,194.36,187.51,192.2693692019498,956.08111,183825.1119256,1177,binance.us,eth,usd
18,binance.us-eth-usd-spot,2019-10-11 00:00:00+00:00,191.53,180.85,196.63,179.66,186.1478601762054,1365.40537,254167.2878986,1532,binance.us,eth,usd
19,binance.us-eth-usd-spot,2019-10-12 00:00:00+00:00,180.85,180.11,184.74,178.2,182.544993395546,682.88764,124657.7197337,1615,binance.us,eth,usd
20,binance.us-eth-usd-spot,2019-10-13 00:00:00+00:00,180.11,181.19,184.66,178.88,182.3221015564309,767.26505,139889.3763668,1658,binance.us,eth,usd
21,binance.us-eth-usd-spot,2019-10-14 00:00:00+00:00,181.19,186.84,187.7,180.64,184.6952213612611,974.02002,179896.8432042,1675,binance.us,eth,usd
22,binance.us-eth-usd-spot,2019-10-15 00:00:00+00:00,186.89,180.5,188.38,177.72,182.6821884134346,1961.03256,358245.7196108,3691,binance.us,eth,usd
23,binance.us-eth-usd-spot,2019-10-16 00:00:00+00:00,180.34,174.6,181.22,172.19,175.4796456511609,1940.00946,340432.1726007,3864,binance.us,eth,usd
24,binance.us-eth-usd-spot,2019-10-17 00:00:00+00:00,174.61,177.28,178.89,172.82,176.080991862156,1860.79506,327650.639817,3250,binance.us,eth,usd
25,binance.us-eth-usd-spot,2019-10-18 00:00:00+00:00,177.28,172.99,177.69,168.57,173.0830355395545,1927.18398,333562.8533016,3822,binance.us,eth,usd
26,binance.us-eth-usd-spot,2019-10-19 00:00:00+00:00,173.13,171.93,176.08,169.84,172.6807086596396,1898.85754,327896.0656509,2585,binance.us,eth,usd
27,binance.us-eth-usd-spot,2019-10-20 00:00:00+00:00,171.93,175.43,176.68,169.39,173.298330848777,1687.24287,292396.3731075,2031,binance.us,eth,usd
28,binance.us-eth-usd-spot,2019-10-21 00:00:00+00:00,175.42,174.37,178.04,171.81,174.4723842665285,1791.4152,312552.4811553,2366,binance.us,eth,usd
29,binance.us-eth-usd-spot,2019-10-22 00:00:00+00:00,174.33,171.32,175.28,170.49,173.3808155461887,1790.37168,310416.1020092,2645,binance.us,eth,usd
30,binance.us-eth-usd-spot,2019-10-23 00:00:00+00:00,171.37,162.54,171.57,153.41,162.1373743628658,4711.06416,763839.5733574,6309,binance.us,eth,usd
31,binance.us-eth-usd-spot,2019-10-24 00:00:00+00:00,162.47,160.65,163.85,159.36,161.6424458254104,5537.08717,895028.3129073,7065,binance.us,eth,usd
32,binance.us-eth-usd-spot,2019-10-25 00:00:00+00:00,160.65,181.65,187.58,160.55,171.5784530088924,3548.40721,608830.2197374,4485,binance.us,eth,usd
33,binance.us-eth-usd-spot,2019-10-26 00:00:00+00:00,181.85,179.97,197.9,173.91,183.1825809717708,4216.83411,772450.5557996,7501,binance.us,eth,usd
34,binance.us-eth-usd-spot,2019-10-27 00:00:00+00:00,179.95,184.35,188.96,176.71,182.5425248364088,4517.41941,824621.1448464,5488,binance.us,eth,usd
35,binance.us-eth-usd-spot,2019-10-28 00:00:00+00:00,184.39,182.18,189.83,180.8,184.1905006017579,3111.50905,573110.4095464,4257,binance.us,eth,usd
36,binance.us-eth-usd-spot,2019-10-29 00:00:00+00:00,181.95,190.89,193.0,181.67,186.750758136225,3474.64547,648892.6757771,4204,binance.us,eth,usd
37,binance.us-eth-usd-spot,2019-10-30 00:00:00+00:00,190.89,183.37,192.13,180.22,185.9288137834023,3166.70784,588782.2322898,4806,binance.us,eth,usd
38,binance.us-eth-usd-spot,2019-10-31 00:00:00+00:00,183.42,182.47,185.42,178.02,181.9044465312703,2521.92694,458749.724213,5281,binance.us,eth,usd
39,binance.us-eth-usd-spot,2019-11-01 00:00:00+00:00,182.43,183.14,184.7,178.15,181.5529419670492,1205.08158,218786.1061593,1584,binance.us,eth,usd
40,binance.us-eth-usd-spot,2019-11-02 00:00:00+00:00,183.41,183.1,186.0,182.03,183.5426517119474,409.75382,75207.3026719,553,binance.us,eth,usd
