market,volume,candle_usd_volume,candle_trades_count
binance.us-eth-usd-spot,27164977.14378,51069968680.89292,50817806
bitfinex-eth-usd-spot,141590472.02848625,126708592293.02925,59167194
bitflyer-eth-usd-spot,56831.8330153,93013075.26957355,219482
bitstamp-eth-usd-spot,63387643.51123607,68154627398.91228,18337725
bittrex-eth-usd-spot,5572106.36541962,5510438104.357749,5259080
cex.io-eth-usd-spot,3878606.440284,5864666784.537684,4557500
coinbase-eth-usd-spot,348238567.76733446,527008473449.56067,423113186
crypto.com-eth-usd-spot,8707042.7043,13205686284.350033,26170243
ftx-eth-usd-spot,135408546.281,282313776395.60693,132460663
ftx.us-eth-usd-spot,17823013.593,35863486045.95249,7447599
gate.io-eth-usd-spot,3990486.11280047,9129021766.079004,11192297
gatecoin-eth-usd-spot,23.0919353,4711.9600196,17
gemini-eth-usd-spot,29151797.53630161,41217475050.47043,20577815
itbit-eth-usd-spot,8405346.04122808,9802688568.55253,16830043
kraken-eth-usd-spot,106739960.63650936,120802103584.02252,34942121
liquid-eth-usd-spot,4181807.75617439,2174722732.495917,1502240
lmax-eth-usd-spot,28839163.85,64434238301.40621,16367373
